routeNumber,depICAO,arrICAO,aircraft,routeType,estFlightTime,rank,notes
EK1,OMDB,EGLL,A388,passenger,435,first_officer,DVA Codeshare
EK145,OMDB,EHAM,B77w,passenger,410,first_officer,DVA Codeshare
EK146,EHAM,OMDB,B77w,passenger,370,first_officer,DVA Codeshare
EK181,OMDB,EBBR,B77w,passenger,400,first_officer,DVA Codeshare
EK183,EBBR,OMDB,B77w,passenger,400,first_officer,DVA Codeshare
EK185,OMDB,LEBL,A388,passenger,435,first_officer,DVA Codeshare
EK186,LEBL,OMDB,A388,passenger,400,first_officer,DVA Codeshare
EK2,EGLL,OMDB,A388,passenger,390,first_officer,DVA Codeshare
EK213,OMDB,KMIA,B77w,passenger,960,first_officer,DVA Codeshare
EK214,KMIA,OMDB,B77w,passenger,790,first_officer,DVA Codeshare
EK247,OMDB,SBGL,B77w,passenger,870,first_officer,DVA Codeshare
EK248,SBGL,OMDB,B77w,passenger,790,first_officer,DVA Codeshare
EK261,OMDB,SBGR,A388,passenger,890,first_officer,DVA Codeshare
EK262,SBGR,OMDB,A388,passenger,870,first_officer,DVA Codeshare
EK43,OMDB,EDDF,B77w,passenger,370,first_officer,DVA Codeshare
EK44,EDDF,OMDB,B77w,passenger,345,first_officer,DVA Codeshare
EK49,OMDB,EDDM,A388,passenger,360,first_officer,DVA Codeshare
EK50,EDDM,OMDB,A388,passenger,345,first_officer,DVA Codeshare
EK701,OMDB,FIMP,A388,passenger,390,first_officer,DVA Codeshare
EK702,FIMP,OMDB,A388,passenger,390,first_officer,DVA Codeshare
EK71,OMDB,LFPG,A388,passenger,420,first_officer,DVA Codeshare
EK719,OMDB,HKJK,B77w,passenger,300,first_officer,DVA Codeshare
EK72,LFPG,OMDB,A388,passenger,375,first_officer,DVA Codeshare
EK720,HKJK,OMDB,B77w,passenger,290,first_officer,DVA Codeshare
EK751,OMDB,GMMN,A388,passenger,505,first_officer,DVA Codeshare
EK752,GMMN,OMDB,A388,passenger,455,first_officer,DVA Codeshare
EK761,OMDB,FAOR,B77w,passenger,485,first_officer,DVA Codeshare
EK762,FAOR,OMDB,B77w,passenger,480,first_officer,DVA Codeshare
EK9282,OMDW,VHHH,B77F,cargo,400,first_officer,DVA Codeshare
EK9283,VHHH,OMDW,B77F,cargo,480,first_officer,DVA Codeshare
EK9872,OMDB,ZSPD,B77F,cargo,435,first_officer,DVA Codeshare
EK9873,ZSPD,OMDB,B77F,cargo,540,first_officer,DVA Codeshare
EK9914,EHAM,OMDW,B77F,cargo,390,first_officer,DVA Codeshare
EK9915,OMDB,EHAM,B77F,cargo,400,first_officer,DVA Codeshare
